cam_time,cam_pulseWaveform_forehead,cam_bpm_forehead,cam_pulseWaveform_mouth,cam_bpm_mouth
14.914597,1006915.0,0.0,259866.0,0.0
15.065703,1006081.0,60.0,279129.0,0.0
15.216397,1019211.0,0.0,268932.5,0.0
15.349684,924070.0,0.0,266244.5,0.0
15.482956,981190.0,0.0,243913.0,0.0
15.642091,882511.5,0.0,251761.5,0.0
15.77829,989593.0,0.0,275026.0,0.0
15.925787,970982.0,0.0,263845.0,0.0
16.071343,1015011.0,0.0,270805.5,0.0
16.207478,980382.0,0.0,258500.0,0.0
16.352423,948552.5,0.0,306741.0,0.0
16.510948,931485.0,0.0,248054.0,0.0
16.653306,960851.0,0.0,305320.5,0.0
16.809249,986555.5,0.0,287265.0,0.0
16.946705,939913.0,0.0,276665.0,0.0
17.110454,951694.5,0.0,303092.0,0.0
17.25371,957947.0,0.0,305270.0,0.0
17.392758,977960.0,0.0,276247.0,0.0
17.537562,1045267.0,0.0,338653.0,0.0
17.675278,913369.0,0.0,249863.5,0.0
17.806985,973693.0,0.0,286512.5,0.0
17.961975,981305.0,0.0,232013.0,0.0
18.108096,960919.5,0.0,262125.0,0.0
18.243324,1039886.0,0.0,262686.0,0.0
18.385903,920838.0,0.0,277428.0,0.0
18.529472,996112.5,0.0,274962.0,0.0
18.661298,902807.0,0.0,194382.0,0.0
18.805889,903990.0,0.0,236413.0,0.0
18.961164,987134.0,0.0,233461.0,0.0
19.110484,974409.0,0.0,249750.5,0.0
19.252628,883903.0,0.0,222144.0,0.0
19.393393,937213.0,0.0,265340.5,0.0
19.552663,934795.0,0.0,238530.0,0.0
19.698603,976721.0,0.0,259461.0,0.0
19.893452,943150.5,0.0,256899.0,0.0
20.054777,983558.5,0.0,291719.5,0.0
20.208819,958544.0,0.0,219818.0,0.0
20.342262,970795.0,0.0,212054.5,0.0
20.483919,964831.0,0.0,248229.0,0.0
20.638958,963455.5,0.0,234844.5,0.0
20.801256,959767.0,0.0,209447.0,0.0
20.962548,948661.0,0.0,223857.0,0.0
21.111283,878535.0,0.0,235818.0,0.0
21.265922,950805.0,0.0,206669.0,0.0
21.419826,982507.5,0.0,278362.0,0.0
21.559413,921225.0,0.0,210832.0,72.0
21.702454,1080402.5,0.0,305053.0,0.0
21.839272,1013978.0,0.0,253929.0,0.0
21.974308,992741.0,0.0,279242.0,0.0
22.124576,946181.5,0.0,256902.0,0.0
22.192225,946181.5,0.0,256902.0,0.0
22.361386,1025961.0,0.0,251243.5,0.0
22.493202,887566.0,0.0,209124.0,0.0
22.642413,820428.5,0.0,209124.0,0.0
22.798143,902299.0,0.0,209124.0,0.0
22.942104,887354.0,0.0,209124.0,0.0
23.087327,884724.0,0.0,209124.0,0.0
23.254498,935771.0,0.0,209124.0,0.0
23.429211,815018.0,0.0,209124.0,0.0
23.602105,821765.0,0.0,209124.0,0.0
23.868127,892670.5,0.0,209124.0,0.0
